customer_id,join_date
CUST_00001,2023-08-17
CUST_00002,2023-02-21
CUST_00003,2024-07-17
CUST_00004,2024-05-16
CUST_00005,2024-04-02
CUST_00006,2023-10-13
CUST_00007,2023-07-29
CUST_00008,2023-06-28
CUST_00009,2025-05-14
CUST_00010,2023-03-07
CUST_00011,2023-03-03
CUST_00012,2023-07-11
CUST_00013,2024-03-23
CUST_00014,2024-04-21
CUST_00015,2025-10-31
CUST_00016,2023-02-24
CUST_00017,2024-02-12
CUST_00018,2025-05-09
CUST_00019,2024-03-27
CUST_00020,2025-07-08
CUST_00021,2024-07-23
CUST_00022,2023-01-14
CUST_00023,2023-11-23
CUST_00024,2025-05-15
CUST_00025,2024-11-27
CUST_00026,2024-07-23
CUST_00027,2023-11-15
CUST_00028,2024-03-16
CUST_00029,2024-11-20
CUST_00030,2023-07-29
CUST_00031,2023-07-09
CUST_00032,2025-02-17
CUST_00033,2023-07-18
CUST_00034,2025-01-05
CUST_00035,2024-12-05
CUST_00036,2024-06-25
CUST_00037,2023-03-30
CUST_00038,2025-07-29
CUST_00039,2023-09-13
CUST_00040,2025-02-14
CUST_00041,2023-06-11
CUST_00042,2024-08-23
CUST_00043,2025-01-10
CUST_00044,2024-01-29
CUST_00045,2023-05-23
CUST_00046,2023-04-04
CUST_00047,2024-04-11
CUST_00048,2024-08-15
CUST_00049,2023-06-13
CUST_00050,2024-04-21
CUST_00051,2023-07-26
CUST_00052,2025-02-17
CUST_00053,2024-07-23
CUST_00054,2025-07-17
CUST_00055,2025-01-17
CUST_00056,2023-11-30
CUST_00057,2025-01-28
CUST_00058,2024-12-28
CUST_00059,2024-03-05
CUST_00060,2024-06-30
CUST_00061,2023-05-27
CUST_00062,2023-12-17
CUST_00063,2025-12-29
CUST_00064,2024-05-16
CUST_00065,2023-12-01
CUST_00066,2025-08-04
CUST_00067,2025-02-16
CUST_00068,2024-07-06
CUST_00069,2024-03-25
CUST_00070,2024-10-26
CUST_00071,2023-04-25
CUST_00072,2024-04-14
CUST_00073,2023-03-07
CUST_00074,2024-10-08
CUST_00075,2025-04-01
CUST_00076,2024-07-02
CUST_00077,2023-05-16
CUST_00078,2024-03-08
CUST_00079,2024-10-06
CUST_00080,2024-03-11
CUST_00081,2025-10-19
CUST_00082,2025-03-21
CUST_00083,2025-07-28
CUST_00084,2023-10-20
CUST_00085,2024-06-26
CUST_00086,2023-10-13
CUST_00087,2024-05-20
CUST_00088,2024-06-22
CUST_00089,2025-05-27
CUST_00090,2025-03-28
CUST_00091,2025-01-11
CUST_00092,2024-03-25
CUST_00093,2023-10-11
CUST_00094,2025-11-09
CUST_00095,2025-10-07
CUST_00096,2023-07-06
CUST_00097,2023-04-07
CUST_00098,2023-08-13
CUST_00099,2023-11-10
CUST_00100,2023-11-24
CUST_00101,2025-05-14
CUST_00102,2023-05-11
CUST_00103,2025-02-27
CUST_00104,2025-02-20
CUST_00105,2025-08-16
CUST_00106,2025-12-19
CUST_00107,2024-05-29
CUST_00108,2023-01-24
CUST_00109,2023-08-23
CUST_00110,2024-06-30
CUST_00111,2024-11-27
CUST_00112,2023-08-17
CUST_00113,2024-08-24
CUST_00114,2025-06-09
CUST_00115,2023-11-20
CUST_00116,2025-07-18
CUST_00117,2023-01-07
CUST_00118,2024-06-23
CUST_00119,2025-10-22
CUST_00120,2024-01-01
CUST_00121,2025-11-05
CUST_00122,2023-08-06
CUST_00123,2024-09-03
CUST_00124,2025-11-05
CUST_00125,2024-02-12
CUST_00126,2023-11-10
CUST_00127,2025-02-04
CUST_00128,2023-11-27
CUST_00129,2025-12-22
CUST_00130,2023-01-02
CUST_00131,2024-10-25
CUST_00132,2025-09-27
CUST_00133,2023-02-09
CUST_00134,2023-08-18
CUST_00135,2025-01-13
CUST_00136,2024-09-21
CUST_00137,2024-05-05
CUST_00138,2023-04-29
CUST_00139,2024-05-08
CUST_00140,2023-06-11
CUST_00141,2023-06-25
CUST_00142,2025-09-22
CUST_00143,2023-05-22
CUST_00144,2025-12-26
CUST_00145,2023-09-15
CUST_00146,2023-09-20
CUST_00147,2025-08-31
CUST_00148,2023-12-05
CUST_00149,2024-06-26
CUST_00150,2025-12-16
CUST_00151,2025-05-16
CUST_00152,2024-03-09
CUST_00153,2024-02-16
CUST_00154,2024-09-30
CUST_00155,2025-03-28
CUST_00156,2025-02-03
CUST_00157,2025-06-16
CUST_00158,2025-11-25
CUST_00159,2025-07-13
CUST_00160,2023-09-05
CUST_00161,2024-05-22
CUST_00162,2024-04-05
CUST_00163,2023-05-12
CUST_00164,2024-11-23
CUST_00165,2023-02-13
CUST_00166,2024-04-16
CUST_00167,2024-03-27
CUST_00168,2023-01-15
CUST_00169,2023-05-26
CUST_00170,2023-05-01
CUST_00171,2024-04-13
CUST_00172,2023-05-19
CUST_00173,2023-03-06
CUST_00174,2024-11-07
CUST_00175,2023-05-26
CUST_00176,2025-11-18
