shipment_id,origin_city,destination_city,expected_duration,delivery_duration,delay_flag
SHP_0000001,Makassar,Medan,4,3,0
SHP_0000002,Balikpapan,Jakarta,4,4,0
SHP_0000003,Bandung,Denpasar,3,3,0
SHP_0000004,Denpasar,Jakarta,3,2,0
SHP_0000005,Semarang,Bandung,1,1,0
SHP_0000006,Makassar,Bandung,1,2,0
SHP_0000007,Bandung,Makassar,2,5,1
SHP_0000008,Bandung,Balikpapan,3,3,0
SHP_0000009,Semarang,Medan,2,3,0
SHP_0000010,Bandung,Denpasar,2,2,0
SHP_0000011,Bandung,Makassar,1,1,0
SHP_0000012,Semarang,Balikpapan,3,4,0
SHP_0000013,Balikpapan,Denpasar,2,1,0
SHP_0000014,Surabaya,Medan,5,4,0
SHP_0000015,Jakarta,Balikpapan,3,4,1
SHP_0000016,Balikpapan,Makassar,1,2,0
SHP_0000017,Denpasar,Medan,1,3,1
SHP_0000018,Bandung,Makassar,2,2,0
SHP_0000019,Jakarta,Semarang,4,3,0
SHP_0000020,Bandung,Surabaya,2,3,1
SHP_0000021,Surabaya,Medan,3,2,0
SHP_0000022,Medan,Semarang,4,6,1
SHP_0000023,Jakarta,Semarang,2,5,1
SHP_0000024,Semarang,Medan,5,8,1
SHP_0000025,Bandung,Jakarta,3,2,0
SHP_0000026,Balikpapan,Denpasar,5,8,1
SHP_0000027,Denpasar,Medan,2,2,0
SHP_0000028,Denpasar,Medan,4,3,0
SHP_0000029,Balikpapan,Jakarta,3,4,0
SHP_0000030,Medan,Balikpapan,5,6,0
SHP_0000031,Jakarta,Denpasar,1,3,1
SHP_0000032,Makassar,Jakarta,5,4,0
SHP_0000033,Denpasar,Makassar,3,2,0
SHP_0000034,Bandung,Jakarta,5,8,1
SHP_0000035,Jakarta,Balikpapan,5,5,0
SHP_0000036,Balikpapan,Makassar,1,1,0
SHP_0000037,Balikpapan,Semarang,4,3,0
SHP_0000038,Semarang,Medan,1,1,0
SHP_0000039,Jakarta,Surabaya,5,4,0
SHP_0000040,Denpasar,Makassar,5,6,0
SHP_0000041,Medan,Semarang,1,2,0
SHP_0000042,Surabaya,Makassar,4,4,0
SHP_0000043,Semarang,Surabaya,2,2,0
SHP_0000044,Makassar,Jakarta,3,6,1
SHP_0000045,Semarang,Balikpapan,4,4,0
SHP_0000046,Bandung,Surabaya,5,6,0
SHP_0000047,Makassar,Bandung,3,3,0
SHP_0000048,Balikpapan,Medan,4,3,0
SHP_0000049,Medan,Balikpapan,4,3,0
SHP_0000050,Makassar,Semarang,4,5,0
SHP_0000051,Jakarta,Semarang,1,4,1
SHP_0000052,Denpasar,Semarang,3,3,0
SHP_0000053,Bandung,Makassar,5,6,0
SHP_0000054,Surabaya,Bandung,1,2,1
SHP_0000055,Medan,Makassar,3,3,0
SHP_0000056,Bandung,Jakarta,3,3,0
SHP_0000057,Balikpapan,Surabaya,3,4,1
SHP_0000058,Medan,Surabaya,1,2,0
SHP_0000059,Surabaya,Bandung,4,5,0
SHP_0000060,Jakarta,Denpasar,5,4,0
SHP_0000061,Makassar,Medan,4,3,0
SHP_0000062,Jakarta,Medan,5,4,0
SHP_0000063,Makassar,Medan,2,2,0
SHP_0000064,Semarang,Denpasar,3,2,0
SHP_0000065,Jakarta,Denpasar,4,5,0
SHP_0000066,Denpasar,Jakarta,4,7,1
SHP_0000067,Balikpapan,Jakarta,1,2,1
SHP_0000068,Bandung,Jakarta,4,5,0
SHP_0000069,Jakarta,Makassar,4,5,0
SHP_0000070,Balikpapan,Makassar,4,5,0
SHP_0000071,Medan,Makassar,3,4,0
SHP_0000072,Denpasar,Jakarta,2,1,0
SHP_0000073,Bandung,Semarang,4,3,0
SHP_0000074,Surabaya,Medan,4,4,0
SHP_0000075,Surabaya,Medan,5,6,0
SHP_0000076,Balikpapan,Bandung,2,3,0
SHP_0000077,Balikpapan,Surabaya,4,4,0
SHP_0000078,Semarang,Makassar,4,4,0
SHP_0000079,Bandung,Balikpapan,4,3,0
SHP_0000080,Jakarta,Semarang,4,3,0
SHP_0000081,Medan,Balikpapan,1,2,1
SHP_0000082,Semarang,Makassar,3,3,0
SHP_0000083,Denpasar,Balikpapan,5,4,0
SHP_0000084,Makassar,Medan,3,2,0
SHP_0000085,Jakarta,Surabaya,2,3,0
SHP_0000086,Bandung,Makassar,2,3,0
SHP_0000087,Makassar,Medan,4,5,0
SHP_0000088,Jakarta,Medan,3,3,0
SHP_0000089,Semarang,Balikpapan,1,1,0
SHP_0000090,Balikpapan,Semarang,1,1,0
SHP_0000091,Surabaya,Makassar,1,2,0
SHP_0000092,Semarang,Surabaya,3,2,0
SHP_0000093,Surabaya,Semarang,3,4,0
SHP_0000094,Balikpapan,Surabaya,2,1,0
SHP_0000095,Bandung,Semarang,1,1,0
SHP_0000096,Jakarta,Semarang,1,1,0
SHP_0000097,Surabaya,Medan,3,4,0
SHP_0000098,Surabaya,Balikpapan,4,5,0
SHP_0000099,Medan,Makassar,5,5,0
SHP_0000100,Jakarta,Balikpapan,5,5,0
SHP_0000101,Bandung,Makassar,4,3,0
SHP_0000102,Denpasar,Makassar,3,4,0
SHP_0000103,Surabaya,Denpasar,3,2,0
SHP_0000104,Bandung,Makassar,1,1,0
SHP_0000105,Bandung,Medan,2,2,0
